RecordedDate,Q12,Q21
Recorded Date,"Have you ever used dating apps (e.g Tinder, Bumble, Hinge, etc) during your time in college? If you respond yes, please list the dating app platforms you have used. If you respond no, please answer the next question, then continue to the following page. - Selected Choice",Are you open to the idea of dating outside your race/ethnicity/culture?
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID70""}","{""ImportId"":""QID97""}"
2024-02-13 17:45:41,,
2024-02-13 17:45:50,,
2024-02-21 11:30:37,,
2024-02-21 15:38:47,,
2024-02-21 15:46:15,,
2024-02-22 19:34:28,Yes,Yes
2024-02-22 19:52:49,Yes,Yes
2024-02-22 20:06:54,Yes,Yes
2024-02-22 21:42:25,Yes,Maybe
2024-02-22 21:51:30,Yes,Yes
2024-02-22 22:56:47,No,Maybe
2024-02-23 00:07:30,Yes,Yes
2024-02-23 15:20:56,Yes,Yes
2024-02-23 16:53:15,Yes,Yes
2024-02-23 17:14:16,Yes,Yes
2024-02-24 01:02:30,Yes,Yes
2024-02-24 09:26:27,Yes,Yes
2024-02-24 09:36:10,Yes,Yes
2024-02-24 11:40:49,Yes,Maybe
2024-02-24 12:08:38,Yes,Yes
2024-02-24 13:24:57,Yes,Yes
2024-02-24 14:08:10,Yes,Yes
2024-02-24 16:58:37,Yes,Yes
2024-02-24 17:35:52,Yes,Maybe
2024-02-24 18:46:28,Yes,Yes
2024-02-25 00:47:41,Yes,Yes
2024-02-27 10:20:51,Yes,Yes
2024-02-27 17:25:01,Yes,Yes
2024-02-27 17:57:40,Yes,Yes
2024-02-27 18:26:42,Yes,Yes
2024-02-27 18:35:00,No,Yes
2024-02-28 10:28:40,Yes,Yes
2024-02-28 12:38:20,Yes,Yes
2024-02-28 13:55:27,No,Maybe
2024-02-28 14:03:24,Yes,Yes
2024-02-28 14:07:56,No,Yes
2024-02-28 14:35:39,No,Maybe
2024-02-28 14:36:46,No,Yes
2024-02-28 14:37:07,,
2024-02-28 14:53:42,Yes,Yes
2024-02-28 15:15:24,No,Yes
2024-02-28 15:21:17,No,Yes
2024-02-28 15:42:43,No,Yes
2024-02-28 16:02:26,Yes,Yes
2024-02-28 16:06:55,No,Yes
2024-02-28 16:35:13,Yes,Yes
2024-02-28 16:41:16,No,Yes
2024-02-28 17:02:32,Yes,Yes
2024-02-28 17:55:28,Yes,Yes
2024-02-28 19:04:51,No,Yes
2024-02-28 19:33:15,Yes,Yes
2024-02-28 19:46:14,Yes,Maybe
2024-02-28 20:04:30,No,Yes
2024-02-28 21:01:58,Yes,Yes
2024-02-28 22:02:07,Yes,Maybe
2024-02-28 22:26:14,Yes,Yes
2024-02-29 00:32:58,No,Yes
2024-02-29 00:40:56,Yes,Yes
2024-02-29 04:26:50,Yes,Yes
2024-02-29 10:59:05,No,Yes
2024-02-29 13:57:47,No,Yes
2024-02-29 14:15:09,No,Yes
2024-02-29 15:28:17,Yes,Yes
2024-02-29 15:30:25,Yes,Yes
2024-02-29 18:14:01,,
2024-02-29 18:58:49,Yes,Yes
2024-02-29 19:22:48,Yes,Yes
2024-02-29 19:32:42,,
2024-02-29 21:37:49,,
2024-02-29 23:04:34,,
2024-03-01 03:52:24,Yes,Maybe
2024-03-01 16:03:27,Yes,Yes
2024-03-01 16:03:46,No,Yes
2024-03-01 16:08:07,No,Yes
2024-03-01 16:08:28,Yes,Yes
2024-03-01 16:16:05,No,Maybe
2024-03-01 16:18:35,No,Yes
2024-03-01 17:32:36,No,Yes
2024-03-01 21:46:28,Yes,
2024-03-02 00:57:38,,
2024-03-02 11:27:44,No,No
2024-03-02 11:57:52,Yes,
2024-03-02 15:21:09,Yes,Yes
2024-03-02 16:10:10,No,Yes
2024-03-02 17:01:26,Yes,
2024-03-02 20:48:38,,
2024-03-04 13:18:24,No,Yes
2024-03-04 19:37:19,No,Yes
2024-03-05 00:57:49,Yes,Yes
2024-03-05 19:58:07,,
2024-03-06 01:08:10,,
2024-03-06 02:43:55,,
2024-03-06 13:53:52,,
2024-03-06 13:54:35,No,Yes
2024-03-06 15:14:55,,
2024-03-06 15:22:47,,
2024-03-06 15:46:07,,
2024-03-06 15:46:18,Yes,Yes
2024-03-06 16:04:31,No,
2024-03-06 16:22:49,,
2024-03-06 16:38:24,No,Yes
2024-03-06 16:43:44,Yes,
2024-03-06 16:50:47,,
2024-03-06 17:24:22,No,
2024-03-06 17:46:55,No,Yes
2024-03-06 18:56:05,No,Yes
2024-03-06 21:16:52,No,Yes
2024-03-06 23:43:24,,
2024-03-07 00:30:50,Yes,
2024-03-07 13:07:48,,
2024-03-08 16:06:17,,
2024-03-08 16:08:01,,
2024-03-08 16:09:41,No,Maybe
2024-03-09 11:05:42,Yes,Yes
2024-03-10 18:18:24,,
